Dual_Plate_ID,i7_Plate_ID,i5_Plate_ID
Dual-081,CZB-TRUSEQ-8-12BP-i7-PLATE-009,CZB-TRUSEQ-8-12BP-i5-PLATE-003
Dual-082,CZB-TRUSEQ-8-12BP-i7-PLATE-010,CZB-TRUSEQ-8-12BP-i5-PLATE-004
Dual-083,CZB-TRUSEQ-8-12BP-i7-PLATE-011,CZB-TRUSEQ-8-12BP-i5-PLATE-005
Dual-084,CZB-TRUSEQ-8-12BP-i7-PLATE-012,CZB-TRUSEQ-8-12BP-i5-PLATE-006
Dual-085,CZB-TRUSEQ-8-12BP-i7-PLATE-001,CZB-TRUSEQ-8-12BP-i5-PLATE-008
Dual-086,CZB-TRUSEQ-8-12BP-i7-PLATE-002,CZB-TRUSEQ-8-12BP-i5-PLATE-009
Dual-087,CZB-TRUSEQ-8-12BP-i7-PLATE-003,CZB-TRUSEQ-8-12BP-i5-PLATE-010
Dual-088,CZB-TRUSEQ-8-12BP-i7-PLATE-004,CZB-TRUSEQ-8-12BP-i5-PLATE-011
Dual-089,CZB-TRUSEQ-8-12BP-i7-PLATE-005,CZB-TRUSEQ-8-12BP-i5-PLATE-012
Dual-090,CZB-TRUSEQ-8-12BP-i7-PLATE-006,CZB-TRUSEQ-8-12BP-i5-PLATE-001
Dual-091,CZB-TRUSEQ-8-12BP-i7-PLATE-007,CZB-TRUSEQ-8-12BP-i5-PLATE-002
Dual-092,CZB-TRUSEQ-8-12BP-i7-PLATE-008,CZB-TRUSEQ-8-12BP-i5-PLATE-003
Dual-093,CZB-TRUSEQ-8-12BP-i7-PLATE-009,CZB-TRUSEQ-8-12BP-i5-PLATE-004
Dual-094,CZB-TRUSEQ-8-12BP-i7-PLATE-010,CZB-TRUSEQ-8-12BP-i5-PLATE-005
Dual-095,CZB-TRUSEQ-8-12BP-i7-PLATE-011,CZB-TRUSEQ-8-12BP-i5-PLATE-006
Dual-096,CZB-TRUSEQ-8-12BP-i7-PLATE-012,CZB-TRUSEQ-8-12BP-i5-PLATE-007
Dual-097,CZB-TRUSEQ-8-12BP-i7-PLATE-001,CZB-TRUSEQ-8-12BP-i5-PLATE-009
Dual-098,CZB-TRUSEQ-8-12BP-i7-PLATE-002,CZB-TRUSEQ-8-12BP-i5-PLATE-010
Dual-099,CZB-TRUSEQ-8-12BP-i7-PLATE-003,CZB-TRUSEQ-8-12BP-i5-PLATE-011
Dual-100,CZB-TRUSEQ-8-12BP-i7-PLATE-004,CZB-TRUSEQ-8-12BP-i5-PLATE-012
Dual-101,CZB-TRUSEQ-8-12BP-i7-PLATE-005,CZB-TRUSEQ-8-12BP-i5-PLATE-001
Dual-102,CZB-TRUSEQ-8-12BP-i7-PLATE-006,CZB-TRUSEQ-8-12BP-i5-PLATE-002
Dual-103,CZB-TRUSEQ-8-12BP-i7-PLATE-007,CZB-TRUSEQ-8-12BP-i5-PLATE-003
Dual-104,CZB-TRUSEQ-8-12BP-i7-PLATE-008,CZB-TRUSEQ-8-12BP-i5-PLATE-004
Dual-105,CZB-TRUSEQ-8-12BP-i7-PLATE-009,CZB-TRUSEQ-8-12BP-i5-PLATE-005
Dual-106,CZB-TRUSEQ-8-12BP-i7-PLATE-010,CZB-TRUSEQ-8-12BP-i5-PLATE-006
Dual-107,CZB-TRUSEQ-8-12BP-i7-PLATE-011,CZB-TRUSEQ-8-12BP-i5-PLATE-007
Dual-108,CZB-TRUSEQ-8-12BP-i7-PLATE-012,CZB-TRUSEQ-8-12BP-i5-PLATE-008
Dual-109,CZB-TRUSEQ-8-12BP-i7-PLATE-001,CZB-TRUSEQ-8-12BP-i5-PLATE-010
Dual-110,CZB-TRUSEQ-8-12BP-i7-PLATE-002,CZB-TRUSEQ-8-12BP-i5-PLATE-011
Dual-111,CZB-TRUSEQ-8-12BP-i7-PLATE-003,CZB-TRUSEQ-8-12BP-i5-PLATE-012
Dual-112,CZB-TRUSEQ-8-12BP-i7-PLATE-004,CZB-TRUSEQ-8-12BP-i5-PLATE-001
Dual-113,CZB-TRUSEQ-8-12BP-i7-PLATE-005,CZB-TRUSEQ-8-12BP-i5-PLATE-002
Dual-114,CZB-TRUSEQ-8-12BP-i7-PLATE-006,CZB-TRUSEQ-8-12BP-i5-PLATE-003
Dual-115,CZB-TRUSEQ-8-12BP-i7-PLATE-007,CZB-TRUSEQ-8-12BP-i5-PLATE-004
Dual-116,CZB-TRUSEQ-8-12BP-i7-PLATE-008,CZB-TRUSEQ-8-12BP-i5-PLATE-005
Dual-117,CZB-TRUSEQ-8-12BP-i7-PLATE-009,CZB-TRUSEQ-8-12BP-i5-PLATE-006
Dual-118,CZB-TRUSEQ-8-12BP-i7-PLATE-010,CZB-TRUSEQ-8-12BP-i5-PLATE-007
Dual-119,CZB-TRUSEQ-8-12BP-i7-PLATE-011,CZB-TRUSEQ-8-12BP-i5-PLATE-008
Dual-120,CZB-TRUSEQ-8-12BP-i7-PLATE-012,CZB-TRUSEQ-8-12BP-i5-PLATE-009
Dual-121,CZB-TRUSEQ-8-12BP-i7-PLATE-001,CZB-TRUSEQ-8-12BP-i5-PLATE-011
Dual-122,CZB-TRUSEQ-8-12BP-i7-PLATE-002,CZB-TRUSEQ-8-12BP-i5-PLATE-012
Dual-123,CZB-TRUSEQ-8-12BP-i7-PLATE-003,CZB-TRUSEQ-8-12BP-i5-PLATE-001
Dual-124,CZB-TRUSEQ-8-12BP-i7-PLATE-004,CZB-TRUSEQ-8-12BP-i5-PLATE-002
Dual-125,CZB-TRUSEQ-8-12BP-i7-PLATE-005,CZB-TRUSEQ-8-12BP-i5-PLATE-003
Dual-126,CZB-TRUSEQ-8-12BP-i7-PLATE-006,CZB-TRUSEQ-8-12BP-i5-PLATE-004
Dual-127,CZB-TRUSEQ-8-12BP-i7-PLATE-007,CZB-TRUSEQ-8-12BP-i5-PLATE-005
Dual-128,CZB-TRUSEQ-8-12BP-i7-PLATE-008,CZB-TRUSEQ-8-12BP-i5-PLATE-006
Dual-129,CZB-TRUSEQ-8-12BP-i7-PLATE-009,CZB-TRUSEQ-8-12BP-i5-PLATE-007
Dual-130,CZB-TRUSEQ-8-12BP-i7-PLATE-010,CZB-TRUSEQ-8-12BP-i5-PLATE-008
Dual-131,CZB-TRUSEQ-8-12BP-i7-PLATE-011,CZB-TRUSEQ-8-12BP-i5-PLATE-009
Dual-132,CZB-TRUSEQ-8-12BP-i7-PLATE-012,CZB-TRUSEQ-8-12BP-i5-PLATE-010
Dual-133,CZB-TRUSEQ-8-12BP-i7-PLATE-001,CZB-TRUSEQ-8-12BP-i5-PLATE-012
Dual-134,CZB-TRUSEQ-8-12BP-i7-PLATE-002,CZB-TRUSEQ-8-12BP-i5-PLATE-001
Dual-135,CZB-TRUSEQ-8-12BP-i7-PLATE-003,CZB-TRUSEQ-8-12BP-i5-PLATE-002
Dual-136,CZB-TRUSEQ-8-12BP-i7-PLATE-004,CZB-TRUSEQ-8-12BP-i5-PLATE-003
Dual-137,CZB-TRUSEQ-8-12BP-i7-PLATE-005,CZB-TRUSEQ-8-12BP-i5-PLATE-004
Dual-138,CZB-TRUSEQ-8-12BP-i7-PLATE-006,CZB-TRUSEQ-8-12BP-i5-PLATE-005
Dual-139,CZB-TRUSEQ-8-12BP-i7-PLATE-007,CZB-TRUSEQ-8-12BP-i5-PLATE-006
Dual-140,CZB-TRUSEQ-8-12BP-i7-PLATE-008,CZB-TRUSEQ-8-12BP-i5-PLATE-007
Dual-141,CZB-TRUSEQ-8-12BP-i7-PLATE-009,CZB-TRUSEQ-8-12BP-i5-PLATE-008
Dual-142,CZB-TRUSEQ-8-12BP-i7-PLATE-010,CZB-TRUSEQ-8-12BP-i5-PLATE-009
Dual-143,CZB-TRUSEQ-8-12BP-i7-PLATE-011,CZB-TRUSEQ-8-12BP-i5-PLATE-010
Dual-144,CZB-TRUSEQ-8-12BP-i7-PLATE-012,CZB-TRUSEQ-8-12BP-i5-PLATE-011
